,Statement,Answer,Label,Type
132,"... the money -- the money went to Fisher House, where they build houses -- the money that you're talking about went to Fisher House, where they build houses for veterans and disabled vets. ","But, of course, there's no way we can know whether any of that is true, because he hasn't released his tax returns. He is the first candidate ever to run for president in the last 40-plus years who has not released his tax returns, so everything he says about charity or anything else, we can't prove it. You can look at our tax returns. We've got them all out there. But what is really troubling is that we learned in the last debate he has not paid a penny in federal income tax. And we were talking about immigrants a few minutes ago, Chris. You know, half of all immigrants -- undocumented immigrants in our country -- actually pay federal income tax. So we have undocumented immigrants in America who are paying more federal income tax than a billionaire. I find that just astonishing.",4.0,raw
133,"['</s><s>The money went to Fisher House, where they build houses for veterans and disabled vets. ""The money that you\'re talking about went to  Fisher House,"" he says. ""It\'s a great organization,"" he adds. ""I love the people at Fisher House. They\'re great people""</s>']","['</s><s>""He is the first candidate ever to run for president in the last 40-plus years who has not released his tax returns,"" she says. ""You can look at our tax returns. We\'ve got them all out there"" ""I find that just astonishing,"" she adds. ""We have undocumented immigrants in America who are paying more federal income tax than a billionaire""</s>']",4.0,summary
134,"But it's because I see this -- we need to have strong growth, fair growth, sustained growth. We also have to look at how we help families balance the responsibilities at home and the responsibilities at business. So we have a very robust set of plans. And people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession.","You are going to approve one of the biggest tax cuts in history. You are going to approve one of the biggest tax increases in history. You are going to drive business out. Your regulations are a disaster, and you're going to increase regulations all over the place. And by the way, my tax cut is the biggest since Ronald Reagan. I'm very proud of it. It will create tremendous numbers of new jobs. But regulations, you are going to regulate these businesses out of existence. When I go around -- Lester, I tell you this, I've been all over. And when I go around, despite the tax cut, the thing -- the things that business as in people like the most is the fact that I'm cutting regulation. You have regulations on top of regulations, and new companies cannot form and old companies are going out of business. And you want to increase the regulations and make them even worse. I'm going to cut regulations. I'm going to cut taxes big league, and you're going to raise taxes big league, end of story.",4.0,raw
135,"[""</s><s>But it's because I see this -- we need to have strong growth, fair growth, sustained growth. So we have a very robust set of plans. And people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs.</s>""]","[""</s><s>You are going to drive business out. Your regulations are a disaster, and you're going to increase regulations all over the place. And by the way, my tax cut is the biggest since Ronald Reagan. I'm very proud of it. It will create tremendous numbers of new jobs.</s>""]",4.0,summary
136,"Thank you, Vice President. In March, Breonna Taylor, a 26 year old emergency room technician in Louisville was shot and killed after police officers executing a search warrant in an aquatics investigation, broke into her apartment. The police said they identified themselves. Taylor’s boyfriend said he didn’t hear them do that. He used a gun registered to him to fire a shot, which wounded an officer. The officers then fired more than 20 rounds into the apartment. They say they were acting in self-defense. None of them have been indicted in connection with her death. Senator Harris, in the case of Breonna Taylor was justice done? You have two minutes.","Well, our heart breaks for the loss of any innocent American life and the family of Breonna Taylor has our sympathies. But I trust our justice system, a grand jury that refuse the evidence. And it really is remarkable that as a former prosecutor, you would assume that an impaneled grand jury looking at all the evidence, got it wrong. But you’re entitled to your opinion, Senator. I think, and with regard to George Floyd, there’s no excuse for what happened to George Floyd. Justice will be served, but there’s also no excuse for the rioting and looting that followed. I mean, it really is astonishing. Flora Westbrook is with us here tonight in Salt Lake city. Just a few weeks ago, I stood at what used to be her salon, it was burned to the ground by rioters and looters. And Flora is still trying to put her life back together. And I must tell you, this presumption that you hear consistently from Joe Biden and Kamala Harris, that America is systemically racist, and that as Joe Biden said that he believes that law enforcement has an implicit bias against minorities is a great insult to the men and women who serve in law enforcement. And I want everyone to know who puts on the uniform of law enforcement every day, President Trump and I stand with you. And it is remarkable that when Senator Tim Scott tried to pass a police reform bill, brought together a group of Republicans and Democrats, Senator Harris, you got up and walked out of the room and then you filibustered Senator Tim Scott’s bill on the Senate floor that would have provided new accountability, new repeat resources. We don’t have to choose between supporting law enforcement, proving public safety and supporting our African-American neighbors and all of our minorities. Under President Trump’s leadership-",4.0,raw
137,"['</s><s>In March, Breonna Taylor, a 26 year old emergency room technician in Louisville was shot and killed after police officers executing a search warrant in an aquatics investigation, broke into her apartment. Taylor’s boyfriend said he didn’t hear them do that. He used a gun registered to him to fire a shot, which wounded an officer. The officers then fired more than 20 rounds into the apartment.</s>']","['</s><s>Sen. Harris filibustered a police reform bill on the Senate floor that would have provided new accountability, new repeat resources. President Trump and I stand with the men and women who put on the uniform of law enforcement every day. We don’t have to choose between supporting law enforcement, proving public safety and supporting our African-American neighbors.</s>']",4.0,summary
138,"I going to say, you bring it up, you brought it up yourself. I mean, are you trying to suggest that? Do you believe a grieving military family gave you a COVID?","No, I don’t know where it came from, and you don’t know where it came from, and the doctors don’t know where it came from. But as the President, I have to be out there. I also know-",3.0,raw
139,"[""</s><s><s>I going to say, you bring it up, you brought it up yourself. I mean, are you trying to suggest that? Do you believe a grieving military family gave you a COVID? I'm not suggesting that. I'm just saying that I think it's a good idea.</s>""]","['</s><s>No, I don’t know where it came from. But as the President, I have to be out there. I also know that as a man, I also need to be a man. And I’m a man who needs to take care of his family.</s>']",3.0,summary
140,"Well, Chris, first of all, I think a no-fly zone could save lives and could hasten the end of the conflict. I'm well aware of the really legitimate concerns that you have expressed from both the president and the general. This would not be done just on the first day. This would take a lot of negotiation. And it would also take making it clear to the Russians and the Syrians that our purpose here was to provide safe zones on the ground. We've had millions of people leave Syria and those millions of people inside Syria who have been dislocated. So I think we could strike a deal and make it very clear to the Russians and the Syrians that this was something that we believe was in the best interests of the people on the ground in Syria, it would help us with our fight against ISIS. But I want to respond to what Donald said about refugees. He's made these claims repeatedly. I am not going to let anyone into this country who is not vetted, who we do not have confidence in. But I am not going to slam the door on women and children. That picture of that little 4-year-old boy in Aleppo, with the blood coming down his face while he sat in an ambulance, is haunting. And so we are going to do very careful, thorough vetting. That does not solve our internal challenges with ISIS and our need to stop radicalization, to work with American Muslim communities who are on the front lines to identify and prevent attacks. In fact, the killer of the dozens of people at the nightclub in Orlando, the Pulse nightclub, was born in Queens, the same place Donald was born. So let's be clear about what the threat is and how we are best going to be able to meet it. And, yes, some of that threat emanates from over in Syria and Iraq, and we've got to keep fighting, and I will defeat ISIS, and some of it is we have to up our game and be much smarter here at home.","We should have -- wait one second. They had a cease-fire three weeks ago. A cease-fire, the United States, Russia, and Syria. And during the cease-fire, Russia took over vast swatches of land, and then they said we don't want the cease-fire anymore. We are so outplayed on missiles, on cease-fires. They are outplayed. Now, she wasn't there. I assume she had nothing to do with it. But our country is so outplayed by Putin and Assad, and by the way -- and by Iran. Nobody can believe how stupid our leadership is. ",4.0,raw
141,"['</s><s>I think a no-fly zone could save lives and could hasten the end of the conflict. I want to respond to what Donald said about refugees. I am not going to let anyone into this country who is not vetted, who we do not have confidence in. That does not solve our internal challenges with ISIS.</s>']","['</s><s>We are so outplayed on missiles, on cease-fires. They are outplayed. Nobody can believe how stupid our leadership is. We should have -- wait one second. A cease-fire, the United States, Russia, and Syria. And during the cease- truce, Russia took over vast swatches of land.</s>']",4.0,summary
142,"He actually advocated for the actions we took in Libya and urged that Gadhafi be taken out, after actually doing some business with him one time. But the larger point -- and he says this constantly -- is George W. Bush made the agreement about when American troops would leave Iraq, not Barack Obama. And the only way that American troops could have stayed in Iraq is to get an agreement from the then-Iraqi government that would have protected our troops, and the Iraqi government would not give that. But let's talk about the question you asked, Lester. The question you asked is, what do we do here in the United States? That's the most important part of this. How do we prevent attacks? How do we protect our people? And I think we've got to have an intelligence surge, where we are looking for every scrap of information. I was so proud of law enforcement in New York, in Minnesota, in New Jersey. You know, they responded so quickly, so professionally to the attacks that occurred by Rahami. And they brought him down. And we may find out more information because he is still alive, which may prove to be an intelligence benefit. So we've got to do everything we can to vacuum up intelligence from Europe, from the Middle East. That means we've got to work more closely with our allies, and that's something that Donald has been very dismissive of. We're working with NATO, the longest military alliance in the history of the world, to really turn our attention to terrorism. We're working with our friends in the Middle East, many of which, as you know, are Muslim majority nations. Donald has consistently insulted Muslims abroad, Muslims at home, when we need to be cooperating with Muslim nations and with the American Muslim community. They're on the front lines. They can provide information to us that we might not get anywhere else. They need to have close working cooperation with law enforcement in these communities, not be alienated and pushed away as some of Donald's rhetoric, unfortunately, has led to.","The secretary said very strongly about working with -- we've been working with them for many years, and we have the greatest mess anyone's ever seen. You look at the Middle East, it's a total mess. Under your direction, to a large extent. But you look at the Middle East, you started the Iran deal, that's another beauty where you have a country that was ready to fall, I mean, they were doing so badly. They were choking on the sanctions. And now they're going to be actually probably a major power at some point pretty soon, the way they're going. But when you look at NATO, I was asked on a major show, what do you think of NATO? And you have to understand, I'm a businessperson. I did really well. But I have common sense. And I said, well, I'll tell you. I haven't given lots of thought to NATO. But two things. Number one, the 28 countries of NATO, many of them aren't paying their fair share. Number two -- and that bothers me, because we should be asking -- we're defending them, and they should at least be paying us what they're supposed to be paying by treaty and contract. And, number two, I said, and very strongly, NATO could be obsolete, because -- and I was very strong on this, and it was actually covered very accurately in the New York Times, which is unusual for the New York Times, to be honest -- but I said, they do not focus on terror. And I was very strong. And I said it numerous times. And about four months ago, I read on the front page of the Wall Street Journal that NATO is opening up a major terror division. And I think that's great. And I think we should get -- because we pay approximately 73 percent of the cost of NATO. It's a lot of money to protect other people. But I'm all for NATO. But I said they have to focus on terror, also. And they're going to do that. And that was -- believe me -- I'm sure I'm not going to get credit for it -- but that was largely because of what I was saying and my criticism of NATO. I think we have to get NATO to go into the Middle East with us, in addition to surrounding nations, and we have to knock the hell out of ISIS, and we have to do it fast, when ISIS formed in this vacuum created by Barack Obama and Secretary Clinton. And believe me, you were the ones that took out the troops. Not only that, you named the day. They couldn't believe it. They sat back probably and said, I can't believe it. They said...",4.0,raw
143,"[""</s><s>He says George W. Bush made the agreement about when American troops would leave Iraq, not Barack Obama. He says we've got to work more closely with our allies, and that's something that Donald has been very dismissive of. Donald has consistently insulted Muslims abroad, Muslims at home, he says.</s>""]","['</s><s><s>The president says NATO is not paying its fair share of the cost of defending the U.S. He says NATO could be obsolete because it doesn\'t focus on terror. Trump: ""We have the greatest mess anyone\'s ever seen"" in the Middle East under Obama and Clinton.</s>']",4.0,summary
144,"Well, everything I did as secretary of state was in furtherance of our country's interests and our values. The State Department has said that. I think that's been proven. But I am happy, in fact I'm thrilled to talk about the Clinton Foundation, because it is a world-renowned charity and I am so proud of the work that it does. You know, I could talk for the rest of the debate -- I know I don't have the time to do that. But just briefly, the Clinton Foundation made it possible for 11 million people around the world with HIV-AIDS to afford treatment, and that's about half all the people in the world who are getting treatment. In partnership with the American Health Association...","It's a criminal enterprise. Saudi Arabia giving $25 million, Qatar, all of these countries. You talk about women and women's rights? So these are people that push gays off business -- off buildings. These are people that kill women and treat women horribly. And yet you take their money. So I'd like to ask you right now, why don't you give back the money that you've taken from certain countries that treat certain groups of people so horribly? Why don't you give back the money? I think it would be a great gesture. Because she takes a tremendous amount of money. And you take a look at the people of Haiti. I was at a little Haiti the other day in Florida. And I want to tell you, they hate the Clintons, because what's happened in Haiti with the Clinton Foundation is a disgrace. And you know it, and they know it, and everybody knows it.",4.0,raw
145,"['</s><s>Clinton: ""Everything I did as secretary of state was in furtherance of our country\'s interests and our values"" ""I am happy, in fact I\'m thrilled to talk about the Clinton Foundation, because it is a world-renowned charity and I am so proud of the work that it does,"" she says.</s>']","[""</s><s>It's a criminal enterprise. Saudi Arabia giving $25 million, Qatar, all of these countries. You talk about women and women's rights? So these are people that push gays off business -- off buildings. And yet you take their money. So I'd like to ask you right now, why don't you give back the money?</s>""]",4.0,summary
146,"Thank you. Well, President Trump kept his word when we moved the American embassy to Jerusalem, the capital of the state of Israel. When Joe Biden was vice president, they promised to do that and they never did. We stood strong with our allies, but we’ve been demanding. NATO is now contributing more to our common defense than ever before thanks to President Trump’s leadership. We’ve strengthened our alliances across the Asia Pacific, and we’ve stood strong against those who would do us harm. When President Trump came into office, ISIS had captured an area of the middle East, the size of Pennsylvania, but President Trump unleashed the American military and our armed forces destroy the ISIS caliphate and took down their leader, al-Baghdadi without one American casualty. Al-Baghdadi was responsible for the death of thousands, but notably America’s hearts today are with the family of Kayla Mueller. Her parents, which are here with us tonight in Salt Lake City. Today, two of the ISIS killers responsible for Kayla Mueller’s murder were brought to justice in the United States. Jihadi John was killed on the battlefield along with the other beetle. The reality is that when Joe Biden was vice president, we had an opportunity to save Kayla Mueller. Breaks my heart to reflect on it, but the military came into the oval office, presented a plan, they said they knew where Kayla was. Baghdadi had held her for 18 months, abused or mercilessly before they killed her, but when Joe Biden was Vice President they hesitated for a month, and when armed forces finally went in, it was clear she’d been moved two days earlier. And her family says with a heart that broke the heart of every American, that if president Donald Trump had been president, they believe Kayla would be alive today.","First of all, to the Mueller family, I know about your daughter’s case, and I’m so sorry. I’m so sorry. What happened to her is awful and it should have never happened, and I know Joe feels the same way, and I know that president Obama feels the same way, but you mentioned Soleimani. Let’s start there. So, after the strike on Soleimani, there was a counter strike on our troops in Iraq, and they suffered serious brain injuries, and do you know what Donald Trump dismissed them as? Headaches. And this is about a pattern of Donald Trump’s where he has referred to our men who are serving in our military as suckers and losers. Donald Trump, who went to Arlington cemetery and stood above the graves of our fallen heroes and said, “What’s in it for them?” Because of course, he only thinks about what’s in it for him. Let’s take what he said about John McCain, a great American hero, and Donald Trump says, “He doesn’t deserve to be called a hero because it was a prisoner of war.” Take, and this is very important when you want to talk about who is the current commander in chief and what they care about and what they don’t care about. Public reporting that Russia had bounties on the heads of American soldiers. And you know what a bounty is? It’s somebody puts a price on your head and they will pay it if you are killed, and Donald Trump had talked at least six times to Vladimir Putin and never brought up the subject. Joe Biden would never do that.",6.0,raw
147,"['</s><s>When President Trump came into office, ISIS had captured an area of the middle East, the size of Pennsylvania. President Trump unleashed the American military and our armed forces destroy the ISIS caliphate and took down their leader, al-Baghdadi without one American casualty. We stood strong with our allies, but we’ve been demanding. NATO is now contributing more to our common defense than ever before.</s>']","['</s><s>Trump dismissed troops who suffered brain injuries after Soleimani strike as having ""headaches"" Trump said John McCain didn\'t deserve to be called a hero because he was a prisoner of war. Trump never brought up the subject of Russia putting bounties on the heads of American soldiers.</s>']",6.0,summary
148,"I have not taken a penny from any foreign source ever in my life. We learned that this president paid 50 times the tax in China as a secret bank account with China, does business in China, and in fact, is talking about me taking money? I have not taken a single penny from any country, whatsoever, ever, number one. Number two, this is a president… I have released all of my tax returns, 22 years, go look at them, 22 years of my tax return. You have not released a single solitary year of your tax return. What are you hiding? Why are you unwilling? The foreign countries are paying you a lot. Russia’s paying you a lot. China’s paying you a lot on your hotels and all your businesses all around the country, all around the world. And China’s building a new road to a new golf course you have overseas. So, what’s going on here? Release your tax return or stop talking about corruption.","First of all, I called my accountants, underwrote it, I’m going to release them as soon as we can. I want to do it. And it’ll show how successful, how great this company is. But much more importantly than that, people were saying $750. I asked them a week ago, I said, “What did I pay?” They said, “Sir, you prepaid tens of millions of dollars.” I prepaid my tax, over the last number of years, tens of millions of dollars, I prepaid, because at some point, they think it’s an estimate. They think I may have to pay tax. So I already prepaid it. Nobody told me that. Nobody told you that. Excuse me. And it wasn’t written. Whenever they write this, they keep talking about $750, which I think is a filing fee, but let me just tell you, I prepaid millions and millions of dollars in taxes, number one. Number two, I don’t make money from China. You do. I don’t make money from Ukraine. You do. I don’t make money from Russia. You made $3.5 million, Joe, and your son gave you, they even have a statement that we have to give 10% to the big man. You’re the big man, I think. I don’t know, maybe you’re not, but you’re the big man, I think. Your son said we have to give 10% to the big men. Joe, what’s that all about? It’s terrible.",1.0,raw
149,"['</s><s>I have not taken a penny from any foreign source ever in my life. We learned that this president paid 50 times the tax in China as a secret bank account with China. So, what’s going on here? Release your tax return or stop talking about corruption.</s>']","['</s><s>I prepaid tens of millions of dollars. I prepaid my tax, over the last number of years. I don’t make money from China. You do. You made $3.5 million, Joe, and your son gave you, they even have a statement that we have to give 10% to the big man.</s>']",1.0,summary
150,"Mr. Trump, thank you. Same question to you, Secretary Clinton. Basically, why are you right and Mr. Trump is wrong? ","Well, as he was talking, I was thinking about a young girl I met here in Las Vegas, Carla, who is very worried that her parents might be deported, because she was born in this country but they were not. They work hard, they do everything they can to give her a good life. And you're right. I don't want to rip families apart. I don't want to be sending parents away from children. I don't want to see the deportation force that Donald has talked about in action in our country. We have 11 million undocumented people. They have 4 million American citizen children, 15 million people. He said as recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation. Now, here's what that means. It means you would have to have a massive law enforcement presence, where law enforcement officers would be going school to school, home to home, business to business, rounding up people who are undocumented. And we would then have to put them on trains, on buses to get them out of our country. I think that is an idea that is not in keeping with who we are as a nation. I think it's an idea that would rip our country apart. I have been for border security for years. I voted for border security in the United States Senate. And my comprehensive immigration reform plan of course includes border security. But I want to put our resources where I think they're most needed: Getting rid of any violent person. Anybody who should be deported, we should deport them. When it comes to the wall that Donald talks about building, he went to Mexico, he had a meeting with the Mexican president. Didn't even raise it. He choked and then got into a Twitter war because the Mexican president said we're not paying for that wall. So I think we are both a nation of immigrants and we are a nation of laws and that we can act accordingly. And that's why I'm introducing comprehensive immigration reform within the first 100 days with the path to citizenship.",4.0,raw
151,"[""</s><s>Mr. Trump, thank you. Same question to you, Secretary Clinton. Basically, why are you right and Mr. Trump is wrong? It's a good question. It's an open question. And it's a very good one. It is a very, very important one. And we'll see what happens.</s>""]","[""</s><s>I don't want to see the deportation force that Donald has talked about in action in our country. He said as recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation. I think that is an idea that is not in keeping with who we are as a nation. I have been for border security for years.</s>""]",4.0,summary
152,"Well, Martha, first, let me say -- and I've said before, but I'll repeat it, because I want everyone to hear it -- that was a mistake, and I take responsibility for using a personal e-mail account. Obviously, if I were to do it over again, I would not. I'm not making any excuses. It was a mistake. And I am very sorry about that. But I think it's also important to point out where there are some misleading accusations from critics and others. After a year-long investigation, there is no evidence that anyone hacked the server I was using and there is no evidence that anyone can point to at all -- anyone who says otherwise has no basis -- that any classified material ended up in the wrong hands. I take classified materials very seriously and always have. When I was on the Senate Armed Services Committee, I was privy to a lot of classified material. Obviously, as secretary of state, I had some of the most important secrets that we possess, such as going after bin Laden. So I am very committed to taking classified information seriously. And as I said, there is no evidence that any classified information ended up in the wrong hands. ","And yet she didn't know the word -- the letter C on a document. Right? She didn't even know what that word -- what that letter meant. You know, it's amazing. I'm watching Hillary go over facts. And she's going after fact after fact, and she's lying again, because she said she -- you know, what she did with the e-mail was fine. You think it was fine to delete 33,000 e-mails? I don't think so. She said the 33,000 e-mails had to do with her daughter's wedding, number one, and a yoga class. Well, maybe we'll give three or three or four or five or something. 33,000 e-mails deleted, and now she's saying there wasn't anything wrong. And more importantly, that was after getting a subpoena. That wasn't before. That was after. She got it from the United States Congress. And I'll be honest, I am so disappointed in congressmen, including Republicans, for allowing this to happen. Our Justice Department, where our husband goes on to the back of a airplane for 39 minutes, talks to the attorney general days before a ruling is going to be made on her case. But for you to say that there was nothing wrong with you deleting 39,000 e-mails, again, you should be ashamed of yourself. What you did -- and this is after getting a subpoena from the United States Congress.",3.0,raw
153,"['</s><s>There is no evidence that any classified material ended up in the wrong hands, Kerry says. Kerry: ""I take classified materials very seriously and always have"" ""I\'m not making any excuses. It was a mistake,"" Kerry says of her use of a personal e-mail account.</s>']","['</s><s>Hillary Clinton deleted 33,000 e-mails after a subpoena from the U.S. Congress, her husband\'s wife says. Hillary didn\'t even know the word -- the letter C on a document, she says. ""She\'s going after fact after fact, and she\'s lying again,"" Hillary Clinton says.</s>']",3.0,summary
154,"Thank you, Secretary Clinton. Mr. Trump, in December, you said this. ""Donald J. Trump is calling for a total and complete shutdown of Muslims entering the United States until our country's representatives can figure out what the hell is going on. We have no choice. We have no choice."" Your running mate said this week that the Muslim ban is no longer your position. Is that correct? And if it is, was it a mistake to have a religious test? ","First of all, Captain Khan is an American hero, and if I were president at that time, he would be alive today, because unlike her, who voted for the war without knowing what she was doing, I would not have had our people in Iraq. Iraq was disaster. So he would have been alive today. The Muslim ban is something that in some form has morphed into a extreme vetting from certain areas of the world. Hillary Clinton wants to allow hundreds of thousands -- excuse me. Excuse me.. ",4.0,raw
155,"['</s><s>In December, Mr. Trump called for a total and complete shutdown of Muslims entering the United States. Your running mate said this week that the Muslim ban is no longer your position. Is that correct? And if it is, was it a mistake to have a religious test?</s>']","['</s><s>First of all, Captain Khan is an American hero, and if I were president at that time, he would be alive today, because unlike her, who voted for the war without knowing what she was doing, I would not have had our people in Iraq. So he would have been alive today. Hillary Clinton wants to allow hundreds of thousands -- excuse me. Excuse me..</s>']",4.0,summary
156,"Thank you. Affordable Care Act, known as Obamacare, it is not affordable. Premiums have gone up. Deductibles have gone up. Copays have gone up. Prescriptions have gone up. And the coverage has gone down. What will you do to bring the cost down and make coverage better? ","Well, I think Donald was about to say he's going to solve it by repealing it and getting rid of the Affordable Care Act. And I'm going to fix it, because I agree with you. Premiums have gotten too high. Copays, deductibles, prescription drug costs, and I've laid out a series of actions that we can take to try to get those costs down. But here's what I don't want people to forget when we're talking about reining in the costs, which has to be the highest priority of the next president, when the Affordable Care Act passed, it wasn't just that 20 million got insurance who didn't have it before. But that in and of itself was a good thing. I meet these people all the time, and they tell me what a difference having that insurance meant to them and their families. But everybody else, the 170 million of us who get health insurance through our employees got big benefits. Number one, insurance companies can't deny you coverage because of a pre-existing condition. Number two, no lifetime limits, which is a big deal if you have serious health problems. Number three, women can't be charged more than men for our health insurance, which is the way it used to be before the Affordable Care Act. Number four, if you're under 26, and your parents have a policy, you can be on that policy until the age of 26, something that didn't happen before. So I want very much to save what works and is good about the Affordable Care Act. But we've got to get costs down. We've got to provide additional help to small businesses so that they can afford to provide health insurance. But if we repeal it, as Donald has proposed, and start over again, all of those benefits I just mentioned are lost to everybody, not just people who get their health insurance on the exchange. And then we would have to start all over again. Right now, we are at 90 percent health insurance coverage. That's the highest we've ever been in our country.",6.0,raw
157,"['</s><s>The Affordable Care Act, known as Obamacare, is not affordable. What will you do to bring the cost down and make coverage better? Please email your story to CNN iReport at jennifer.smith@cnn.com. For confidential support call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or see www.samaritans.org.</s>']","[""</s><s>President-elect Donald Trump says he'll repeal the Affordable Care Act. Hillary Clinton says he's going to fix it, because Premiums have gotten too high. Clinton: We are at 90 percent health insurance coverage. That's the highest we've ever been in our country.</s>""]",6.0,summary
158,"Our country’s first Supreme Court gave its first ruling is just two blocks from here from 1791 to 1800, and it’s become more polarized since then. Merrick Garland didn’t get a hearing for all of 2016 and Amy Coney Barrett is being pushed through at the last minute, even though millions have already voted. So what do you think about ideas from people like Pete Buttigieg and others to put in place safeguards that will help ensure more long-term balance and stability? And what do you say to LGBTQ Americans and others who are very worried right now about erosions of their rights and our democracy as a whole?","Number two, I think that also healthcare overall is very much in jeopardy as a consequence of the President’s going to go directly after this election directly to the Supreme Court within a month to try to get Obamacare wiped out after 10 million people have already lost her insurance from their employer and wants to take 20 million people out of the system as well, plus 100 million people with pre-existing conditions. So there’s a lot at stake. I don’t think it’s appropriate. I think the Constitution implies, there’s no provision in the Constitution, my problem is I made a mistake of teaching constitutional law for 21 years, and the separation of powers, the Constitution implies that their way the people have a right to determine who’s going to be on the court is how they vote for their Senators and their President. We seek the advice and consent of the Senate. And the President-",4.0,raw
159,['</s><s>Our country’s first Supreme Court gave its first ruling is just two blocks from here from 1791 to 1800. Merrick Garland didn’t get a hearing for all of 2016 and Amy Coney Barrett is being pushed through at the last minute. So what do you think about ideas from people like Pete Buttigieg and others to put in place safeguards that will help ensure more long-term balance and stability?</s>'],"['</s><s>The President is going to go directly after this election directly to the Supreme Court within a month to try to get Obamacare wiped out. 10 million people have already lost her insurance from their employer and wants to take 20 million people out of the system as well, plus 100 million people with pre-existing conditions. I don’t think it’s appropriate. I made a mistake of teaching constitutional law for 21 years.</s>']",4.0,summary
160,"Excuse me, sir. You had never called for the leaders in Portland and in Oregon to call and bring in the National Guard and knock off a 100 days of riots.",They can in fact take care of it if he just stay out of the way.,3.0,raw
161,"['</s><s><s>President Obama called for the National Guard to be called in after 100 days of riots in Portland, Oregon. President Obama said he had never called for such a move before. Obama was responding to a question from CNN\'s John Sutter. Sutter: ""I\'m sorry, Mr. Obama, I don\'t know why you didn\'t call for it before.""</s>']","['</s><s><s>They can in fact take care of it if he just stay out of the way, he says. ""They can. They can,"" he adds. ""If he just stays out of it. If he just keeps his head down, they\'ll take care"" He adds: ""They\'ll take cared of it.""</s>']",3.0,summary
162,We brought up the e-mails.,"No, it hasn't. It hasn't. And it hasn't been finished at all. ",3.0,raw
163,"[""</s><s><s><s>We brought up the e-mails. We asked him to send them back to us. He did. We brought them back. He sent them back, and they sent them to us again. We're still talking to him. We'll see what happens next.</s>""]","[""</s><s>No, it hasn't. It hasn't been finished at all. And it isn't going to be finished any time soon. It's a long way from being a finished product to a finished project. That's the way it's going to stay for a long, long time.</s>""]",3.0,summary
164,"All right. Your two minutes, sir. We’re now moved to you. As I said, posing the question, the president says it’s a V-shape recovery, you say it’s a K-shaped recovery. What’s the difference?","The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing? This guy paid a total of $750 in taxes. Do I get my time back? The fact is that he has in fact, worked on this in a way that he’s going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president. Fewer jobs than when he became president. First one in American history. Secondly, the people who have lost their jobs are those people who have been on the front lines. Those people who have been saving our lives, those people who have been out there dying. People who’ve been putting themselves in the way to make sure that we could all try to make it. And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more. Why is he want to open it up? Why does he take care of the… You can’t fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety. Schools. Why aren’t schools open? Because it costs a lot of money to open them safely. They were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn’t do that because it’s not a national emergency. Not a national emergency. They’ve done nothing to help small businesses. Nothing. They’re closing. One in six is now gone. He ought to get on the job and take care of the needs of the American people so we can open safely.",5.0,raw
165,"[""</s><s>All right. Your two minutes, sir. We’re now moved to you. As I said, posing the question, the president says it’s a V-shape recovery, you say it's a K-shaped recovery. What's the difference?</s>""]","['</s><s>The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing?</s>']",5.0,summary
